state,office,district,potential_power,pr_close,pr_tip,realized_power
NY,statehouse,,0.7466440333422671,0.006303754157156178,1.0,0.004706660429097172
CA,ushouse,46,12.5,0.1758689140605076,0.0021,0.004616558994088324
WA,ushouse,3,12.5,0.1758689140605076,0.0021,0.004616558994088324
OH,ushouse,10,12.5,0.1758689140605076,0.0021,0.004616558994088324
IL,ushouse,3,12.5,0.1758689140605076,0.002,0.004396722851512689
CA,ushouse,31,12.5,0.1758689140605076,0.002,0.004396722851512689
OR,ushouse,3,12.5,0.1758689140605076,0.002,0.004396722851512689
GA,ushouse,5,12.5,0.1758689140605076,0.002,0.004396722851512689
CA,ushouse,13,12.5,0.1758689140605076,0.002,0.004396722851512689
NY,ushouse,16,12.5,0.1758689140605076,0.002,0.004396722851512689
ME,ushouse,2,12.5,0.1758689140605076,0.0019,0.004176886708937055
MA,ushouse,6,12.5,0.1758689140605076,0.0019,0.004176886708937055
CA,ushouse,49,12.5,0.1758689140605076,0.0019,0.004176886708937055
NV,ushouse,4,12.5,0.1758689140605076,0.0019,0.004176886708937055
CA,ushouse,27,12.5,0.1758689140605076,0.0019,0.004176886708937055
MA,ushouse,2,12.5,0.1758689140605076,0.0019,0.004176886708937055
FL,ushouse,7,12.5,0.1758689140605076,0.0019,0.004176886708937055
NM,ushouse,1,12.5,0.1758689140605076,0.0018,0.003957050566361421
KY,ushouse,3,12.5,0.1758689140605076,0.0018,0.003957050566361421
IL,ushouse,5,12.5,0.1758689140605076,0.0018,0.003957050566361421
IL,ushouse,1,12.5,0.1758689140605076,0.0018,0.003957050566361421
SC,ushouse,6,12.5,0.1758689140605076,0.0018,0.003957050566361421
OH,ushouse,3,12.5,0.1758689140605076,0.0018,0.003957050566361421
CA,ushouse,45,12.5,0.1758689140605076,0.0018,0.003957050566361421
CA,ushouse,5,12.5,0.1758689140605076,0.0018,0.003957050566361421
IA,president,,25.0,0.06063779823053885,0.00255,0.0038656596371968517
NJ,ussenate,NJ,12.5,0.45254003964995115,0.0006667,0.00377135555543278
IL,ushouse,2,12.5,0.1758689140605076,0.0017,0.0037372144237857855
CT,ushouse,3,12.5,0.1758689140605076,0.0017,0.0037372144237857855
MI,ushouse,11,12.5,0.1758689140605076,0.0017,0.0037372144237857855
TN,ushouse,5,12.5,0.1758689140605076,0.0017,0.0037372144237857855
MN,ushouse,5,12.5,0.1758689140605076,0.0017,0.0037372144237857855
MA,ushouse,8,12.5,0.1758689140605076,0.0017,0.0037372144237857855
NY,ushouse,9,12.5,0.1758689140605076,0.0017,0.0037372144237857855
NH,ushouse,2,12.5,0.1758689140605076,0.0017,0.0037372144237857855
CA,ushouse,18,12.5,0.1758689140605076,0.0017,0.0037372144237857855
CO,ushouse,6,12.5,0.1758689140605076,0.0017,0.0037372144237857855
NC,ushouse,1,12.5,0.1758689140605076,0.0017,0.0037372144237857855
NM,ushouse,3,12.5,0.1758689140605076,0.0017,0.0037372144237857855
MI,ushouse,5,12.5,0.1758689140605076,0.0017,0.0037372144237857855
CO,ushouse,7,12.5,0.1758689140605076,0.0016,0.0035173782812101518
ME,ushouse,1,12.5,0.1758689140605076,0.0016,0.0035173782812101518
TX,ushouse,32,12.5,0.1758689140605076,0.0016,0.0035173782812101518
NY,ushouse,13,12.5,0.1758689140605076,0.0016,0.0035173782812101518
NY,ushouse,26,12.5,0.1758689140605076,0.0016,0.0035173782812101518
OH,ushouse,9,12.5,0.1758689140605076,0.0016,0.0035173782812101518
RI,ushouse,2,12.5,0.1758689140605076,0.0016,0.0035173782812101518
GA,ushouse,2,12.5,0.1758689140605076,0.0016,0.0035173782812101518
CT,ushouse,4,12.5,0.1758689140605076,0.0016,0.0035173782812101518
NY,ushouse,5,12.5,0.1758689140605076,0.0016,0.0035173782812101518
MN,ushouse,4,12.5,0.1758689140605076,0.0016,0.0035173782812101518
MI,ushouse,13,12.5,0.1758689140605076,0.0016,0.0035173782812101518
TX,ushouse,28,12.5,0.1758689140605076,0.0016,0.0035173782812101518
CA,ushouse,15,12.5,0.1758689140605076,0.0016,0.0035173782812101518
CA,ushouse,16,12.5,0.1758689140605076,0.0016,0.0035173782812101518
MD,ushouse,8,12.5,0.1758689140605076,0.0016,0.0035173782812101518
NY,ushouse,20,12.5,0.1758689140605076,0.0016,0.0035173782812101518
MS,ushouse,2,12.5,0.1758689140605076,0.0016,0.0035173782812101518
FL,ushouse,16,12.5,0.1758689140605076,0.0016,0.0035173782812101518
NY,ushouse,12,12.5,0.1758689140605076,0.0016,0.0035173782812101518
KS,ushouse,3,12.5,0.1758689140605076,0.0016,0.0035173782812101518
CA,ushouse,36,12.5,0.1758689140605076,0.0016,0.0035173782812101518
MD,ushouse,4,12.5,0.1758689140605076,0.0015,0.003297542138634517
CA,ushouse,20,12.5,0.1758689140605076,0.0015,0.003297542138634517
NJ,ushouse,9,12.5,0.1758689140605076,0.0015,0.003297542138634517
NJ,ushouse,10,12.5,0.1758689140605076,0.0015,0.003297542138634517
VA,ushouse,11,12.5,0.1758689140605076,0.0015,0.003297542138634517
FL,ushouse,20,12.5,0.1758689140605076,0.0015,0.003297542138634517
MN,ushouse,2,12.5,0.1758689140605076,0.0015,0.003297542138634517
CA,ushouse,37,12.5,0.1758689140605076,0.0015,0.003297542138634517
NY,ushouse,10,12.5,0.1758689140605076,0.0015,0.003297542138634517
NY,ushouse,6,12.5,0.1758689140605076,0.0015,0.003297542138634517
CA,ushouse,24,12.5,0.1758689140605076,0.0015,0.003297542138634517
LA,ushouse,2,12.5,0.1758689140605076,0.0015,0.003297542138634517
TX,ushouse,10,12.5,0.1758689140605076,0.0015,0.003297542138634517
NJ,ushouse,12,12.5,0.1758689140605076,0.0015,0.003297542138634517
TX,ushouse,6,12.5,0.1758689140605076,0.0015,0.003297542138634517
TX,ushouse,3,12.5,0.1758689140605076,0.0015,0.003297542138634517
WA,governor,,0.5758206820792561,0.005547456914805072,1.0,0.003194340424488342
OH,statesenate,,0.4466154323904989,0.007057649063406473,1.0,0.003152054988113681
IN,governor,,0.5113496412359917,0.006129514815644491,1.0,0.0031343252019305065
IL,statesenate,,0.48679508853561504,0.00635168029326372,1.0,0.0030919667707092337
OR,ushouse,1,12.5,0.1758689140605076,0.0014,0.0030777059960588825
FL,ushouse,22,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CA,ushouse,30,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CT,ushouse,1,12.5,0.1758689140605076,0.0014,0.0030777059960588825
RI,ushouse,1,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CA,ushouse,9,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CA,ushouse,11,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CA,ushouse,12,12.5,0.1758689140605076,0.0014,0.0030777059960588825
FL,ushouse,13,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CA,ushouse,3,12.5,0.1758689140605076,0.0014,0.0030777059960588825
CO,ushouse,2,12.5,0.1758689140605076,0.0014,0.0030777059960588825
OR,ushouse,5,12.5,0.1758689140605076,0.0014,0.0030777059960588825
